Season,Episode,Title,Year of Release,IMDB Rating,Arco
7,224,Honjou o Awarashita Kioku Dorobou no Saigo Gyakushuu,2005,7.1,Ocean's Dream Arc
7,225,Hokori takaki otoko! Gin Gitsune no Foxy,2005,6.8,Foxy's Return Arc
7,226,Mottomo Muteki ni Tsuyoi Yatsu? Tomottomo Kiken na Otoko!,2005,6.8,Foxy's Return Arc
7,227,Kaigun Honbu Taishou Aokiji! Saikou Senryoku no Kyoui,2005,9.0,Foxy's Return Arc
7,228,Gomu to Koori no Ikkiuchi! Luffy vs Aokiji,2005,8.3,Foxy's Return Arc
8,229,Shissou Umi Ressha to Mizu no Toshi Water Seven,2005,7.7,Water 7 Arc
8,230,Suijou Toshi no Bouken! Mokushise Kyodai Zousen Koujou,2005,7.8,Water 7 Arc
8,231,Franky ikka to Iceberg san!,2005,7.8,Water 7 Arc
8,232,Garera Company! Soukan Ichiban Dock,2005,7.8,Water 7 Arc
8,233,Kaizoku Yuukai Jiken to Shi o Matsu Dake no Kaizokusen,2005,7.8,Water 7 Arc
8,234,Nakama Kyuushutsu! Harikomi Franky House,2005,9.0,Water 7 Arc
8,235,Gekka no Oogenka! Kanashimi ni Hirugaeru Kaizokuki!,2005,9.3,Water 7 Arc
8,236,Luffy VS Usopp! Butsukaru Otoko no Iji,2005,9.5,Water 7 Arc
8,237,Genkishin Mizu no Toshi! Nerawareta Iceberg,2005,7.9,Water 7 Arc
8,238,Gomu Gomu Ningen VS Ka o Fuku Cyborg,2005,8.1,Water 7 Arc
8,239,Hannin wa Mugiwara Kaizukudan? Mizu no Toshi Youjinbou,2005,7.9,Water 7 Arc
8,240,Eien no Wakare? Yamo o Hiku Onna Nico Robin,2005,8.0,Water 7 Arc
8,241,Robin o Tsukamaero! Mugiwara Ichimi no Ketsui,2005,7.8,Water 7 Arc
8,242,Aizu wa Hougeki to Tomoni! Ugokidashita CP9,2005,8.2,Water 7 Arc
8,243,Kamen o Totta CP9! Sono Odoroki no Sugao,2005,9.1,Water 7 Arc
8,244,Himeta Kizuna! Iceberg to Franky,2005,9.0,Water 7 Arc
8,245,Kaete Koi Robin! CP9 to no Taiketsu!,2005,8.8,Water 7 Arc
8,246,Mugiwara Kaizoku Dan Zenmetsu? Model Leopard no Kyoui,2005,8.1,Water 7 Arc
8,247,Fune kara mo Aisareta Otoko! Usopp no Namida!,2005,8.1,Water 7 Arc
8,248,Franky no Kako! Umi ressha ga Hashitta Hi,2005,8.2,Water 7 Arc
8,249,Spandum no Inbou! Umi Ressha ga Yureta Hi,2005,8.3,Water 7 Arc
8,250,Densetsu no Otoko no Saigo! Umi Ressha ga Naita Hi,2005,8.9,Water 7 Arc
